               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 138,            0.025665,           0.0059602,          0.00030426,             0.85916,             0.82704,             0.84359,             0.40587,            0.040486,           0.0061023,           0.0032145,           0.0011658,           0.0011658,           0.0011658
                 139,            0.026065,           0.0059462,          0.00034378,             0.86337,             0.81733,             0.83824,             0.40756,             0.04067,           0.0061431,           0.0032195,           0.0011414,           0.0011414,           0.0011414
                 140,               0.025,           0.0057178,          0.00031971,             0.85381,             0.84252,             0.85377,              0.4141,            0.040293,           0.0060142,           0.0032351,           0.0011189,           0.0011189,           0.0011189
                 141,            0.025627,           0.0057633,          0.00029467,             0.86148,             0.83814,             0.85494,             0.41132,             0.04021,            0.005972,           0.0032077,           0.0010983,           0.0010983,           0.0010983
                 142,            0.025747,           0.0060533,          0.00044159,             0.86248,              0.8332,             0.84758,             0.40682,            0.040342,           0.0060306,           0.0032019,           0.0010797,           0.0010797,           0.0010797
                 143,            0.025937,           0.0059609,          0.00030409,             0.86416,             0.82592,             0.84353,             0.41005,            0.039895,           0.0060459,           0.0032438,            0.001063,            0.001063,            0.001063
                 144,            0.025379,            0.005959,          0.00028571,             0.86232,              0.8293,             0.84491,             0.40638,            0.040487,            0.006072,           0.0031736,           0.0010483,           0.0010483,           0.0010483
                 145,            0.025265,           0.0059445,          0.00037428,             0.87746,             0.81526,             0.82683,             0.39837,            0.040761,           0.0061638,            0.003205,           0.0010355,           0.0010355,           0.0010355
                 146,            0.025366,           0.0060579,           0.0003748,             0.86342,             0.82358,             0.82772,             0.40059,            0.040506,           0.0061118,           0.0032262,           0.0010247,           0.0010247,           0.0010247
                 147,            0.025083,           0.0059717,          0.00033865,             0.85221,             0.84377,             0.83973,             0.39687,            0.040537,           0.0060898,           0.0032527,           0.0010158,           0.0010158,           0.0010158
                 148,            0.025502,           0.0060648,          0.00032565,             0.85862,              0.8363,             0.83747,              0.3992,             0.04047,           0.0062224,           0.0031772,           0.0010089,           0.0010089,           0.0010089
                 149,            0.024983,           0.0058313,          0.00038224,             0.86153,             0.82326,             0.83478,             0.39423,            0.040737,           0.0062422,           0.0031492,           0.0010039,           0.0010039,           0.0010039
